Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
myVSTSTestCases,Chrome 65.0.3325.181,,2018-04-05 16:12:22,2018-04-05 16:23:56,11m - 34.598s,FAILED
,,,,,,
Test Cases/VSTS/Module Verification for Team/Backlog/Baseline/Create Baseline from CM with Open Baseline Check,Chrome 65.0.3325.181,,2018-04-05 16:12:22,2018-04-05 16:16:45,4m - 23.690s,PASSED
Statement - BaselineName = CustomKeywords.keyword.edevkatalon.com.GeneralKeywords.GetRandomString(),Chrome 65.0.3325.181,,2018-04-05 16:12:22,2018-04-05 16:12:22,0.017s,PASSED
callTestCase,Chrome 65.0.3325.181,,2018-04-05 16:12:22,2018-04-05 16:14:20,1m - 57.695s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-05 16:14:20,2018-04-05 16:14:23,3.003s,PASSED
click,Chrome 65.0.3325.181,Work Tab Open,2018-04-05 16:14:23,2018-04-05 16:14:46,23.113s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-05 16:14:46,2018-04-05 16:14:49,3.003s,PASSED
click,Chrome 65.0.3325.181,Backlogs tab Opened,2018-04-05 16:14:49,2018-04-05 16:14:52,3.114s,PASSED
Statement - For (def index : (1..10)),Chrome 65.0.3325.181,Work Items Creation,2018-04-05 16:14:52,2018-04-05 16:15:26,34.067s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-05 16:15:26,2018-04-05 16:15:29,3.002s,PASSED
keyword.edevkatalon.com.ActionClass.SelectElement,Chrome 65.0.3325.181,Select all Work Items (Keyword),2018-04-05 16:15:29,2018-04-05 16:15:29,0.302s,PASSED
rightClick,Chrome 65.0.3325.181,Open Context Menu options,2018-04-05 16:15:29,2018-04-05 16:15:29,0.067s,PASSED
waitForElementVisible,Chrome 65.0.3325.181,,2018-04-05 16:15:29,2018-04-05 16:15:31,1.231s,PASSED
click,Chrome 65.0.3325.181,Clicked Create Baseline window to open,2018-04-05 16:15:31,2018-04-05 16:15:31,0.071s,PASSED
waitForElementVisible,Chrome 65.0.3325.181,,2018-04-05 16:15:31,2018-04-05 16:16:40,1m - 9.499s,PASSED
switchToFrame,Chrome 65.0.3325.181,,2018-04-05 16:16:40,2018-04-05 16:16:40,0.035s,PASSED
setText,Chrome 65.0.3325.181,Random Baseline Name ,2018-04-05 16:16:40,2018-04-05 16:16:40,0.066s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-05 16:16:40,2018-04-05 16:16:45,5.003s,PASSED
click,Chrome 65.0.3325.181,Baseline file created and opened in new tab,2018-04-05 16:16:45,2018-04-05 16:16:45,0.182s,PASSED
,,,,,,
Test Cases/VSTS/Module Verification for Team/Backlog/Model/Create a model file against work item,Chrome 65.0.3325.181,,2018-04-05 16:16:46,2018-04-05 16:20:07,3m - 21.312s,FAILED
Statement - BaselineName = CustomKeywords.keyword.edevkatalon.com.GeneralKeywords.GetRandomString(),Chrome 65.0.3325.181,,2018-04-05 16:16:46,2018-04-05 16:16:46,0.001s,PASSED
callTestCase,Chrome 65.0.3325.181,,2018-04-05 16:16:46,2018-04-05 16:18:28,1m - 42.277s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-05 16:18:28,2018-04-05 16:18:31,3.003s,PASSED
click,Chrome 65.0.3325.181,Work Tab Open,2018-04-05 16:18:31,2018-04-05 16:20:07,1m - 35.943s,FAILED
,,,,,,
Test Cases/VSTS/Module Verification for Team/Backlog/Review Request Folder/Review Request from backlogs,Chrome 65.0.3325.181,,2018-04-05 16:20:07,2018-04-05 16:23:55,3m - 48.634s,PASSED
callTestCase,Chrome 65.0.3325.181,,2018-04-05 16:20:07,2018-04-05 16:21:44,1m - 36.850s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-05 16:21:44,2018-04-05 16:21:47,3.002s,PASSED
click,Chrome 65.0.3325.181,Work Tab Open,2018-04-05 16:21:47,2018-04-05 16:21:49,1.962s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-05 16:21:49,2018-04-05 16:21:52,3.000s,PASSED
click,Chrome 65.0.3325.181,Backlogs tab Opened,2018-04-05 16:21:52,2018-04-05 16:21:56,3.981s,PASSED
Statement - For (def index : (1..10)),Chrome 65.0.3325.181,Work Items Creation,2018-04-05 16:21:56,2018-04-05 16:22:29,33.461s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-05 16:22:29,2018-04-05 16:22:32,3.002s,PASSED
keyword.edevkatalon.com.ActionClass.SelectElement,Chrome 65.0.3325.181,Select all Work Items (Keyword),2018-04-05 16:22:32,2018-04-05 16:22:32,0.151s,PASSED
Statement - ReviewName = CustomKeywords.keyword.edevkatalon.com.GeneralKeywords.GetRandomString(),Chrome 65.0.3325.181,Review Name Random ,2018-04-05 16:22:32,2018-04-05 16:22:32,0.001s,PASSED
rightClick,Chrome 65.0.3325.181,Click Context Menu,2018-04-05 16:22:32,2018-04-05 16:22:32,0.071s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 16:22:32,2018-04-05 16:22:34,1.769s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-05 16:22:34,2018-04-05 16:22:44,10.002s,PASSED
waitForElementVisible,Chrome 65.0.3325.181,,2018-04-05 16:22:44,2018-04-05 16:23:24,39.921s,PASSED
switchToFrame,Chrome 65.0.3325.181,Switched to IFrame,2018-04-05 16:23:24,2018-04-05 16:23:24,0.064s,PASSED
doubleClick,Chrome 65.0.3325.181,Selected Reviewer dropdown,2018-04-05 16:23:24,2018-04-05 16:23:55,30.776s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-05 16:23:55,2018-04-05 16:23:55,0.001s,NOT_RUN
sendKeys,Chrome 65.0.3325.181,,2018-04-05 16:23:55,2018-04-05 16:23:55,0.000s,NOT_RUN
doubleClick,Chrome 65.0.3325.181,,2018-04-05 16:23:55,2018-04-05 16:23:55,0.000s,NOT_RUN
setText,Chrome 65.0.3325.181,,2018-04-05 16:23:55,2018-04-05 16:23:55,0.001s,NOT_RUN
sendKeys,Chrome 65.0.3325.181,,2018-04-05 16:23:55,2018-04-05 16:23:55,0.000s,NOT_RUN
setText,Chrome 65.0.3325.181,,2018-04-05 16:23:55,2018-04-05 16:23:55,0.000s,NOT_RUN
sendKeys,Chrome 65.0.3325.181,,2018-04-05 16:23:55,2018-04-05 16:23:55,0.001s,NOT_RUN
setText,Chrome 65.0.3325.181,,2018-04-05 16:23:55,2018-04-05 16:23:55,0.094s,PASSED
sendKeys,Chrome 65.0.3325.181,Reviewer Added,2018-04-05 16:23:55,2018-04-05 16:23:55,0.027s,PASSED
doubleClick,Chrome 65.0.3325.181,,2018-04-05 16:23:55,2018-04-05 16:23:55,0.067s,PASSED
setText,Chrome 65.0.3325.181,Selected Approver Dropdown,2018-04-05 16:23:55,2018-04-05 16:23:55,0.072s,PASSED
sendKeys,Chrome 65.0.3325.181,Approver Added,2018-04-05 16:23:55,2018-04-05 16:23:55,0.021s,PASSED
setText,Chrome 65.0.3325.181,Selected Approver Dropdown,2018-04-05 16:23:55,2018-04-05 16:23:55,0.072s,PASSED
sendKeys,Chrome 65.0.3325.181,Approver Added,2018-04-05 16:23:55,2018-04-05 16:23:55,0.022s,PASSED
doubleClick,Chrome 65.0.3325.181,,2018-04-05 16:23:55,2018-04-05 16:23:55,0.068s,PASSED
setText,Chrome 65.0.3325.181,Subject Name,2018-04-05 16:23:55,2018-04-05 16:23:55,0.071s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 16:23:55,2018-04-05 16:23:55,0.000s,NOT_RUN
click,Chrome 65.0.3325.181,,2018-04-05 16:23:55,2018-04-05 16:23:55,0.001s,NOT_RUN
